"STT","câu 1","câu 2","câu 3","câu 4","câu 5","câu 6","câu 7","câu 8","câu 9","câu 10"
"1","5","4","4","4","4","4","4","","",""
"2","5","4","4","4","3","4","2","","",""
"3","5","5","5","5","5","5","5","","",""
"4","5","4","3","4","3","4","3","","",""
"5","5","5","3","2","3","2","4","","",""
"6","5","5","3","3","3","2","5","","",""
"7","5","5","4","4","3","4","5","","",""
"8","4","4","4","4","4","3","3","","",""
"9","5","5","5","5","5","5","5","","",""
"10","5","5","4","3","3","4","3","","",""
"11","5","4","1","4","4","3","4","","",""
"12","5","3","2","4","1","5","1","","",""
"13","4","3","5","4","1","3","4","","",""
"14","1","2","3","4","3","3","2","","",""
"15","2","3","2","4","2","3","4","","",""
"16","1","5","5","5","4","4","4","","",""
"17","3","4","2","3","2","3","2","","",""
"18","4","5","3","1","3","4","1","","",""
"19","5","5","5","5","4","5","4","","",""
"20","5","2","5","1","4","2","4","","",""
"21","3","5","4","3","3","3","4","","",""
"22","5","5","4","4","4","4","3","","",""
"23","5","5","4","3","5","4","2","","",""
"24","5","4","2","4","3","4","4","","",""
"25","5","5","1","2","3","3","3","","",""
"26","5","5","5","3","4","5","2","","",""
"27","4","4","3","3","4","5","4","","",""
"28","5","4","4","2","3","3","3","","",""
"29","5","4","4","3","3","4","2","","",""
"30","4","5","4","3","3","1","1","","",""
"31","5","5","3","4","2","1","5","","",""
"32","3","3","2","4","3","1","1","","",""
"33","5","4","5","4","4","4","3","","",""
"34","3","2","3","3","3","3","3","","",""
"35","5","5","5","3","4","4","5","","",""
"36","5","5","5","5","5","5","5","","",""
"37","4","5","3","1","3","4","5","","",""
"38","5","5","4","3","5","4","5","","",""
"39","5","5","5","4","4","5","4","","",""
"40","5","4","4","1","3","5","1","","",""
"41","4","4","3","4","3","4","5","","",""
"42","5","3","3","4","5","4","3","","",""
"43","5","4","4","3","3","3","3","","",""
"44","4","5","4","4","2","2","2","","",""
"45","5","5","5","5","5","5","5","","",""
"46","4","4","3","2","2","3","1","","",""
"47","5","4","3","3","3","3","3","","",""
"48","1","3","2","4","2","3","2","","",""
"49","5","4","4","4","3","3","2","","",""
"50","5","5","5","5","4","5","3","","",""
