STT,Tên tác giả,Đường link của tác giả,Ngày tháng năm sinh,Câu nói nổi tiếng của tác giả,Tuổi
1,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,145
2,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",59
3,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,145
4,Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,"December 16, 1775","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",249
5,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",98
6,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Try not to become a man of success. Rather become a man of value.”,145
7,André Gide,http://quotes.toscrape.com//author/Andre-Gide,"November 22, 1869",“It is better to be hated for what you are than to be loved for what you are not.”,155
8,Thomas A. Edison,http://quotes.toscrape.com//author/Thomas-A-Edison,"February 11, 1847","“I have not failed. I've just found 10,000 ways that won't work.”",177
9,Eleanor Roosevelt,http://quotes.toscrape.com//author/Eleanor-Roosevelt,"October 11, 1884",“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,140
10,Steve Martin,http://quotes.toscrape.com//author/Steve-Martin,"August 14, 1945","“A day without sunshine is like, you know, night.”",79
11,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",98
12,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",59
13,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“If you can't explain it to a six year old, you don't understand it yourself.”",145
14,Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",79
15,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",120
16,Douglas Adams,http://quotes.toscrape.com//author/Douglas-Adams,"March 11, 1952","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",72
17,Elie Wiesel,http://quotes.toscrape.com//author/Elie-Wiesel,"September 30, 1928","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",96
18,Friedrich Nietzsche,http://quotes.toscrape.com//author/Friedrich-Nietzsche,"October 15, 1844","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",180
19,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835","“Good friends, good books, and a sleepy conscience: this is the ideal life.”",189
20,Allen Saunders,http://quotes.toscrape.com//author/Allen-Saunders,"April 24, 1899",“Life is what happens to us while we are making other plans.”,125
21,Pablo Neruda,http://quotes.toscrape.com//author/Pablo-Neruda,"July 12, 1904","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",120
22,Ralph Waldo Emerson,http://quotes.toscrape.com//author/Ralph-Waldo-Emerson,"May 25, 1803",“For every minute you are angry you lose sixty seconds of happiness.”,221
23,Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,"August 26, 1910","“If you judge people, you have no time to love them.”",114
24,Garrison Keillor,http://quotes.toscrape.com//author/Garrison-Keillor,"August 07, 1942",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,82
25,Jim Henson,http://quotes.toscrape.com//author/Jim-Henson,"September 24, 1936",“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,88
26,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",120
27,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",145
28,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",59
29,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Logic will get you from A to Z; imagination will get you everywhere.”,145
30,Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“One good thing about music, when it hits you, you feel no pain.”",79
31,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",120
32,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",59
33,Bob Marley,http://quotes.toscrape.com//author/Bob-Marley,"February 06, 1945","“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",79
34,Mother Teresa,http://quotes.toscrape.com//author/Mother-Teresa,"August 26, 1910",“Not all of us can do great things. But we can do small things with great love.”,114
35,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“To the well-organized mind, death is but the next great adventure.”",59
36,Charles M. Schulz,http://quotes.toscrape.com//author/Charles-M-Schulz,"November 26, 1922",“All you need is love. But a little chocolate now and then doesn't hurt.”,102
37,William Nicholson,http://quotes.toscrape.com//author/William-Nicholson,"January 12, 1948",“We read to know we're not alone.”,76
38,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Any fool can know. The point is to understand.”,145
